Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
Phoenix,Drama,2015-07-24,98%,125,78%,12914,,"$2,164,527 ","$5,600,000 ",98,"A spellbinding mystery of identity, illusion, and deception unfolds against the turmoil of post-World War II Germany in the stunning new film from acclaimed director Christian Petzold (Barbara, Jerichow). Nelly (Nina Hoss), a German-Jewish nightclub singer, has survived a concentration camp, but with her face disfigured by a bullet wound. After undergoing reconstructive surgery, Nelly emerges with a new face, one similar but different enough that her former husband, Johnny (Ronald Zehrfeld), doesn't recognize her. Rather than reveal herself, Nelly walks into a dangerous game of duplicity and disguise as she tries to figure out if the man she loves may have been the one who betrayed her to the Nazis. Evoking the shadows and haunted mood of post-war Berlin, Phoenix weaves a complex tale of a nation's tragedy and a woman's search for answers as it builds towards an unforgettable, heart-stopping climax. (C) IFC Films","Tense, complex, and drenched in atmosphere, Phoenix is a well-acted, smartly crafted war drama that finds writer-director Christian Petzold working at peak power.",IFC Films,PG-13 ,https://www.rottentomatoes.com/m/phoenix_2015/
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Drama,2019-09-18,97%,150,88%,34,,"$118,603 ","$4,200,000 ",119,"France, 1760. Marianne is commissioned to paint the wedding portrait of Héloïse, a young woman who has just left the convent. Because she is a reluctant bride-to-be, Marianne arrives under the guise of companionship, observing Héloïse by day and secretly painting her by firelight at night. As the two women orbit one another, intimacy and attraction grow as they share Héloïse's first moments of freedom. Héloïse's portrait soon becomes a collaborative act of and testament to their love.","A singularly rich period piece, Portrait of a Lady on Fire finds stirring, thought-provoking drama within a powerfully acted romance.",NEON,R ,https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire/
The Post,Drama,2018-01-12,88%,382,73%,12104,"$50,000,000 ","$80,369,969 ","$179,800,000 ",115,"Steven Spielberg directs Meryl Streep and Tom Hanks in The Post, a thrilling drama about the unlikely partnership between The Washington Post's Katharine Graham (Streep), the first female publisher of a major American newspaper, and editor Ben Bradlee (Hanks), as they race to catch up with The New York Times to expose a massive cover-up of government secrets that spanned three decades and four U.S. Presidents. The two must overcome their differences as they risk their careers -- and their very freedom -- to help bring long-buried truths to light. The Post marks the first time Meryl Streep, Tom Hanks and Steven Spielberg have collaborated on a project. In addition to directing, Spielberg produces along with Amy Pascal and Kristie Macosko Krieger. The script was written by Liz Hannah and Josh Singer, and the film features an acclaimed ensemble cast including Alison Brie, Carrie Coon, David Cross, Bruce Greenwood, Tracy Letts, Bob Odenkirk, Sarah Paulson, Jesse Plemons, Matthew Rhys, Michael Stuhlbarg, Bradley Whitford and Zach Woods.","The Post's period setting belies its bitingly timely themes, brought compellingly to life by director Steven Spielberg and an outstanding ensemble cast.",20th Century Fox,PG-13 ,https://www.rottentomatoes.com/m/the_post/
A Quiet Place,Horror,2018-04-06,95%,364,83%,22169,"$17,000,000 ","$188,024,361 ","$340,900,000 ",90,"In the modern horror thriller A QUIET PLACE, a family of four must navigate their lives in silence after mysterious creatures that hunt by sound threaten their survival. If they hear you, they hunt you.",A Quiet Place artfully plays on elemental fears with a ruthlessly intelligent creature feature that's as original as it is scary -- and establishes director John Krasinski as a rising talent.,Paramount Pictures,PG-13 ,https://www.rottentomatoes.com/m/a_quiet_place_2018/
Rocketman,Drama,2019-05-31,89%,355,88%,21646,"$40,000,000 ","$96,368,160 ","$195,200,000 ",121,"ROCKETMAN is an epic musical fantasy about the incredible human story of Elton John's breakthrough years. The film follows the fantastical journey of transformation from shy piano prodigy Reginald Dwight into international superstar Elton John. This inspirational story -- set to Elton John's most beloved songs and performed by star Taron Egerton -- tells the universally relatable story of how a small-town boy became one of the most iconic figures in pop culture. ROCKETMAN also stars Jamie Bell as Elton's longtime lyricist and writing partner Bernie Taupin, Richard Madden as Elton's first manager, John Reid, and Bryce Dallas Howard as Elton's mother Sheila Farebrother.","It's going to be a long, long time before a rock biopic manages to capture the highs and lows of an artist's life like Rocketman.",Paramount Pictures,R ,https://www.rottentomatoes.com/m/rocketman_2019/
Roma,Drama,2018-11-21,96%,373,72%,5193,"$15,000,000 ","$4,000,000 ","$5,100,000 ",135,"The most personal project to date from Academy Award (R)-winning director and writer Alfonso Cuarón (Gravity, Children of Men, Y Tu Mama Tambien), ROMA follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the 1970s. Cuarón's first project since the groundbreaking Gravity in 2013, ROMA will be available in theaters and on Netflix later this year.","Roma finds writer-director Alfonso Cuarón in complete, enthralling command of his visual craft - and telling the most powerfully personal story of his career.",Netflix,R ,https://www.rottentomatoes.com/m/roma_2018/
Room,Drama,2015-10-16,93%,307,93%,49371,"$13,000,000 ","$14,677,654 ","$36,300,000 ",113,"Both highly suspenseful and deeply emotional, ROOM is a unique and touching exploration of the boundless love between a mother and her child. After 5-year-old Jack (Jacob Tremblay) and his Ma (Brie Larson) escape from the enclosed surroundings that Jack has known his entire life, the boy makes a thrilling discovery: the outside world. As he experiences all the joy, excitement, and fear that this new adventure brings, he holds tight to the one thing that matters most of all--his special bond with his loving and devoted Ma.","Led by incredible work from Brie Larson and Jacob Tremblay, Room makes for an unforgettably harrowing -- and undeniably rewarding -- experience.",Element Pictures,R ,https://www.rottentomatoes.com/m/room_2015/
The Rider,Drama,2018-04-13,97%,175,82%,1968,,"$2,419,031 ","$3,400,000 ",104,"Based on his a true story, THE RIDER stars breakout Brady Jandreau as a once rising star of the rodeo circuit warned that his competition days are over after a tragic riding accident. Back home, Brady finds himself wondering what he has to live for when he can no longer do what gives him a sense of purpose: to ride and compete. In an attempt to regain control of his fate, Brady undertakes a search for new identity and tries to redefine his idea of what it means to be a man in the heartland of America.",The Rider's hard-hitting drama is only made more effective through writer-director Chloé Zhao's use of untrained actors to tell the movie's fact-based tale.,Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/the_rider/
The Salesman (Forushande),Drama,2017-01-27,96%,192,84%,7319,,"$11,067 ","$6,953,000 ",125,"Forced to leave their apartment due to a dangerous construction project in a neighboring building, a young Iranian couple moves to the center of Tehran where they become embroiled in a life-altering situation involving the previous tenant. Directed by Asghar Farhadi, who also helmed the Oscar-winning feature A Separation.","The Salesman takes an ambitiously complex look at thought-provoking themes, and the well-acted results prove another consistently absorbing entry in writer-director Asghar Farhadi's distinguished filmography.",Cohen Media Group,PG-13 ,https://www.rottentomatoes.com/m/the_salesman_2017/
Searching,Mystery & Suspense,2018-08-31,92%,242,87%,6474,"$880,000 ","$26,020,957 ","$75,500,000 ",101,"After David Kim (John Cho)'s 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop. In a hyper-modern thriller told via the technology devices we use every day to communicate, David must trace his daughter's digital footprints before she disappears forever.",Searching's timely premise and original execution are further bolstered by well-rounded characters brought to life by a talented cast.,Screen Gems,PG-13 ,https://www.rottentomatoes.com/m/searching_2018/
Selma,Drama,2014-12-25,99%,303,86%,61334,"$20,000,000 ","$52,076,908 ","$66,800,000 ",127,"SELMA is the story of a movement. The film chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson (Tom Wilkinson) signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernays SELMA tells the real story of how the revered leader and visionary Dr. Martin Luther King Jr. (David Oyelowo) and his brothers and sisters in the movement prompted change that forever altered history.(C) Paramount","Fueled by a gripping performance from David Oyelowo, Selma draws inspiration and dramatic power from the life and death of Martin Luther King, Jr. -- but doesn't ignore how far we remain from the ideals his work embodied.",Paramount Pictures,PG-13 ,https://www.rottentomatoes.com/m/selma/
A Separation,Drama,2011-12-30,99%,173,92%,22805,"$800,000 ","$6,700,000 ","$24,400,000 ",123,"Set in contemporary Iran, A Separation is a compelling drama about the dissolution of a marriage. Simin wants to leave Iran with her husband Nader and daughter Termeh. Simin sues for divorce when Nader refuses to leave behind his Alzheimer-suffering father. Her request having failed, Simin returns to her parents' home, but Termeh decides to stay with Nader. When Nader hires a young woman to assist with his father in his wife's absence, he hopes that his life will return to a normal state. However, when he discovers that the new maid has been lying to him, he realizes that there is more on the line than just his marriage. -- (C) Sony Pictures Classics","Morally complex, suspenseful, and consistently involving, A Separation captures the messiness of a dissolving relationship with keen insight and searing intensity.",Sony Pictures Classics,PG-13 ,https://www.rottentomatoes.com/m/a_separation_2011/
